state,x,y
Algeria,-156,289
Angola,-23,-157
Benin,-150,103
Botswana,63,-276
Burkina Faso,-232,131
Burundi,151,-59
Cabo Verde,-408,185
Cameroon,-56,34
Central Africa Republic,-4,55
Chad,14,143
Comoros,288,-135
Congo,-8,-4
Ivory Coast,-246,69
Djibouti,288,121
D R Congo,52,-40
Egypt,112,296
Equatorial Guinea,-96,-3
Eritrea,234,165
Eswatini,158,-307
Ethiopia,234,89
Gabon,-58,-19
Gambia,-379,141
Ghana,-199,51
Guinea,-316,110
Guinea Bissau,-387,123
Kenya,224,-3
Lesotho,119,-339
Liberia,-292,54
Libya,-38,304
Madagascar,325,-242
Malawi,193,-170
Mali,-202,187
Mauritania,-297,196
Mauritius,406,-236
Morocco,-223,347
Mozambique,195,-230
Namibia,-16,-256
Niger,-85,170
Nigeria,-108,87
Rwanda,153,-39
Sao Tome And Principe,-183,3
Senegal,-361,167
Seychelles,368,-114
Sierra Leone,-348,81
Somalia,342,98
South Africa,57,-321
South Sudan,129,69
Sudan,123,177
Tanzania,181,-87
Togo,-161,77
Tunisia,-59,376
Uganda,180,11
Western Sahara,-356,271
Zambia,88,-187
Zimbabwe,130,-242
